年,月,日,回次,場所,日次,レース番号,レース名,クラスコード,芝・ダ,コースコード,距離,馬場状態,馬名,性別,年齢,騎手名,斤量,頭数,馬番,確定着順,入線着順,異常コード,着差タイム,人気順,走破タイム,走破時計,,通過順1,通過順2,通過順3,通過順4,上がり3Fタイム,馬体重,調教師,所属地,賞金,血統登録番号,騎手コード,調教師コード,レースID,現馬主名,生産者名,父馬名,母馬名,母の父馬名,毛色,生年月日,単勝オッズ,馬印1,レース印1,PCI
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,ラストシャリナ    ,牡,4,石川裕紀,58.0,16,01,1,1,0,-0.3,13,71,"1110",0,0,0,4,3,36.2,488,矢嶋大樹,美,1190,22100418,01150,01202,0626221201,,,,,,,,  68.5,  ,    ,46.1
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,ビッグドリーム    ,牡,5,ルメール,58.0,16,12,2,2,0,0.3,1,71.3,"1113",0,0,0,2,2,36.7,538,西園正都,栗,480,21100899,05339,01028,0626221212,,,,,,,,   2.6,  ,    ,44.3
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,キョウエイカンフ  ,牡,6,横山和生,58.0,16,07,3,3,0,0.3,2,71.3,"1113",0,0,0,11,10,35.7,526,勢司和浩,美,300,20100363,01140,01047,0626221207,,,,,,,,   2.9,  ,    ,49.7
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,タイセイルヴァン  ,牡,4,黛弘人,58.0,16,02,4,4,0,0.5,11,71.5,"1115",0,0,0,10,10,36.1,510,新開幸一,美,180,22103859,01109,01116,0626221202,,,,,,,,  39.3,  ,    ,48.1
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,アルジェンタージョ,牝,5,佐藤翔馬,53.0,16,08,5,5,0,0.7,15,71.7,"1117",0,0,0,7,7,36.6,464,伊藤圭三,美,119,21103706,01207,01023,0626221208,,,,,,,, 222.8,  ,    ,45.9
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,ビーマックス      ,牡,4,三浦皇成,58.0,16,09,6,6,0,1,5,72,"1120",0,0,0,4,4,37.2,492,藤野健太,栗,0,22100729,01122,01200,0626221209,,,,,,,,  15.8,  ,    ,43.5
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,タッカージーティー,牝,4,横山典弘,56.0,16,13,7,7,0,1.2,6,72.2,"1122",0,0,0,16,14,35.6,480,鈴木伸尋,美,0,22106261,00660,01026,0626221213,,,,,,,,  16.2,  ,    ,52.8
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,アスゴッド        ,牡,4,荻野極,58.0,16,14,8,8,0,1.2,8,72.2,"1122",0,0,0,4,6,37.4,504,矢作芳人,栗,0,22103704,01160,01075,0626221214,,,,,,,,  24.0,  ,    ,43.0
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,アグラード        ,牡,5,津村明秀,58.0,16,15,9,9,0,1.3,10,72.3,"1123",0,0,0,7,7,37.2,468,高柳瑞樹,美,0,21105429,01092,01118,0626221215,,,,,,,,  34.4,  ,    ,44.4
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,エスシーレベッカ  ,牝,4,上里直汰,53.0,16,06,10,10,0,1.4,12,72.4,"1124",0,0,0,1,1,37.9,462,加藤士津,美,0,22100304,01217,01169,0626221206,,,,,,,,  44.6,  ,    ,41.0
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,ガーネットウインク,牝,4,田辺裕信,56.0,16,05,11,11,0,1.8,14,72.8,"1128",0,0,0,7,7,37.7,486,小西一男,美,0,22100417,01075,00405,0626221205,,,,,,,,  76.5,  ,    ,43.1
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,ジョヴィアン      ,牡,6,丸山元気,58.0,16,11,12,12,0,1.8,3,72.8,"1128",0,0,0,14,13,37,510,井上智史,栗,0,20110127,01127,01214,0626221211,,,,,,,,  10.4,  ,    ,46.8
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,アベベ            ,牡,5,長浜鴻緒,56.0,16,16,13,13,0,1.9,16,72.9,"1129",0,0,0,15,15,36.7,494,根本康広,美,0,21109113,01214,01029,0626221216,,,,,,,, 294.2,  ,    ,48.6
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,カラヴァジェスティ,牡,4,戸崎圭太,58.0,16,10,14,14,0,1.9,4,72.9,"1129",0,0,0,11,12,37.3,474,奥村武,美,0,22110006,05386,01145,0626221210,,,,,,,,  12.3,  ,    ,45.4
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,オトメナシャチョウ,牝,4,横山武史,56.0,16,04,15,15,0,1.9,7,72.9,"1129",0,0,0,2,4,38.3,484,森秀行,栗,0,22110088,01170,00427,0626221204,,,,,,,,  22.4,  ,    ,40.3
26,03,01,2,中山,2,12,２勝ｸﾗｽ,43,ダ,1,1200,良,スミレファースト  ,牝,5,佐々木大,56.0,16,03,16,16,0,2.5,9,73.5,"1135",0,0,0,13,16,37.8,452,加藤征弘,美,0,21105619,01197,01059,0626221203,,,,,,,,  29.6,  ,    ,44.4
26,03,01,2,中山,2,11,中山記念G2,179,芝,0,1800,良,レーベンスティール,牡,6,戸崎圭太,58.0,14,05,1,1,0,-0.3,3,105.1,"1451",0,3,4,4,3,33.8,484,田中博康,美,6700,20102078,05386,01162,0626221105,,,,,,,,   4.2,  ,    ,55.5
26,03,01,2,中山,2,11,中山記念G2,179,芝,0,1800,良,カラマティアノス  ,牡,4,津村明秀,56.0,14,09,2,2,0,0.3,4,105.4,"1454",0,5,5,5,5,34,478,奥村武,美,2700,22104896,01092,01145,0626221109,,,,,,,,   7.6,  ,    ,55.0
26,03,01,2,中山,2,11,中山記念G2,179,芝,0,1800,良,エコロヴァルツ    ,牡,5,横山武史,57.0,14,10,3,3,0,0.3,2,105.4,"1454",0,3,3,3,3,34.2,492,牧浦充徳,栗,1700,21101436,01170,01113,0626221110,,,,,,,,   3.6,  ,    ,54.1
26,03,01,2,中山,2,11,中山記念G2,179,芝,0,1800,良,マイネルモーント  ,牡,6,石川裕紀,57.0,14,07,4,4,0,0.4,9,105.5,"1455",0,9,8,7,9,33.9,470,高木登,美,1000,20105749,01150,01088,0626221107,,,,,,,,  58.8,  ,    ,55.6
26,03,01,2,中山,2,11,中山記念G2,179,芝,0,1800,良,チェルヴィニア    ,牝,5,ルメール,55.0,14,06,5,5,0,0.4,5,105.5,"1455",0,11,10,10,11,33.7,498,木村哲也,美,670,21105643,05339,01126,0626221106,,,,,,,,   7.7,  ,    ,56.5
