年,月,日,回次,場所,日次,レース番号,レース名,クラスコード,芝・ダ,コースコード,距離,馬場状態,馬名,性別,年齢,騎手名,斤量,頭数,馬番,確定着順,入線着順,異常コード,着差タイム,人気順,走破タイム,走破時計,,通過順1,通過順2,通過順3,通過順4,上がり3Fタイム,馬体重,調教師,所属地,賞金,血統登録番号,騎手コード,調教師コード,レースID,現馬主名,生産者名,父馬名,母馬名,母の父馬名,毛色,生年月日,単勝オッズ,馬印1,レース印1,PCI
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,ニシノケンタマン  ,牡,4,西塚洸二,58.0,15,12,1,1,0,-0.1,4,113.8,"1538",0,4,3,2,3,37.3,462,深山雅史,美,820,22106427,01200,01174,0426181212,,,,,,,,   8.8,  ,    ,52.5
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,ブルージャイアント,牡,4,江田照男,58.0,15,04,2,2,0,0.1,9,113.9,"1539",0,5,5,6,6,37.2,544,蛯名正義,美,330,22101450,00689,01191,0426181204,,,,,,,,  27.5,  ,    ,53.1
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,ローズマイスター  ,牡,4,丹内祐次,58.0,15,10,3,3,0,0.3,1,114.1,"1541",0,11,10,4,3,37.5,508,黒岩陽一,美,210,22104419,01091,01133,0426181210,,,,,,,,   3.1,  ,    ,52.1
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,マテンロウミラクル,牡,5,富田暁,58.0,15,05,4,4,0,0.5,12,114.3,"1543",0,6,5,6,6,37.5,510,柴田卓,栗,120,21105993,01168,01216,0426181205,,,,,,,, 103.2,  ,    ,52.4
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,プルメリアクヒオ  ,牡,5,菊沢一樹,58.0,15,07,5,5,0,0.5,10,114.3,"1543",0,1,1,1,1,37.9,458,深山雅史,美,82,21103208,01161,01174,0426181207,,,,,,,,  42.5,  ,    ,50.8
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,コスモシェルベット,牡,4,石神深道,55.0,15,06,6,6,0,0.7,7,114.5,"1545",0,3,3,4,5,37.9,440,水野貴広,美,0,22106785,01209,01094,0426181206,,,,,,,,  17.0,  ,    ,51.1
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,タルタロス        ,牡,5,石田拓郎,55.0,15,11,7,7,0,0.7,11,114.5,"1545",0,9,8,10,10,37.5,458,天間昭一,美,0,21103150,01203,01090,0426181211,,,,,,,,  44.2,  ,    ,52.7
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,アバレリュウ      ,牡,4,野中悠太,58.0,15,13,8,8,0,0.9,3,114.7,"1547",0,2,2,2,2,38.3,494,鈴木慎太,美,0,22100390,01158,01179,0426181213,,,,,,,,   6.7,  ,    ,49.7
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,カレンラップスター,牡,4,松本大輝,58.0,15,02,9,9,0,1,5,114.8,"1548",0,8,8,8,9,37.9,504,小林真也,栗,0,22104723,01191,01185,0426181202,,,,,,,,   8.9,  ,    ,51.5
26,05,24,1,新潟,8,12,１勝ｸﾗｽ,23,ダ,1,1800,稍,ヤマカツレオン    ,セ,9,川端海翼,55.0,15,09,10,10,0,1.4,15,115.2,"1552",0,6,7,10,10,38.2,504,谷潔,栗,0,17103384,01195,00431,0426181209,,,,,,,, 255.7,  ,    ,50.8
