年,月,日,回次,場所,日次,レース番号,レース名,クラスコード,芝・ダ,コースコード,距離,馬場状態,馬名,性別,年齢,騎手名,斤量,頭数,馬番,確定着順,入線着順,異常コード,着差タイム,人気順,走破タイム,走破時計,,通過順1,通過順2,通過順3,通過順4,上がり3Fタイム,馬体重,調教師,所属地,賞金,血統登録番号,騎手コード,調教師コード,レースID,現馬主名,生産者名,父馬名,母馬名,母の父馬名,毛色,生年月日,単勝オッズ,馬印1,レース印1,PCI
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,ジェニファー      ,牝,5,舟山瑠泉,54.0,13,07,1,1,0,-0.2,2,69.7,"1097",0,0,0,1,1,34.6,458,浜田多実,栗,820,21103932,01221,01138,0426141207,,,,,,,,   4.9,  ,    ,51.4
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,ノボリリア        ,牝,4,富田暁,56.0,13,12,2,2,0,0.2,3,69.9,"1099",0,0,0,5,5,34.3,442,石橋守,栗,330,22103058,01168,01140,0426141212,,,,,,,,   6.3,  ,    ,53.8
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,ベルファスト      ,牝,5,河原田菜,52.0,13,10,3,3,0,0.2,1,69.9,"1099",0,0,0,2,2,34.7,498,今野貞一,栗,210,21101414,01204,01128,0426141210,,,,,,,,   3.2,  ,    ,51.4
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,アーサーズウェイン,牝,4,横山琉人,56.0,13,09,4,4,0,0.3,9,70,"1100",0,0,0,7,7,34.1,454,高橋一哉,栗,120,22106433,01192,01206,0426141209,,,,,,,,  18.9,  ,    ,55.3
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,セガンティーニ    ,牝,4,石川裕紀,56.0,13,13,5,5,0,0.4,6,70.1,"1101",0,0,0,10,10,34.1,474,坂口智康,栗,82,22106835,01150,01170,0426141213,,,,,,,,  10.8,  ,    ,55.6
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,ルパヴィヨン      ,牝,4,菊沢一樹,56.0,13,08,6,6,0,0.5,4,70.2,"1102",0,0,0,3,3,34.8,472,小手川準,美,0,22105279,01161,01171,0426141208,,,,,,,,   7.0,  ,    ,51.7
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,アスクヴォルテージ,牡,4,小沢大仁,58.0,13,01,7,7,0,0.5,5,70.2,"1102",0,0,0,11,13,34.1,532,藤原英昭,栗,0,22102305,01185,01055,0426141201,,,,,,,,   7.7,  ,    ,55.9
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,セディバン        ,牡,4,松本大輝,58.0,13,06,8,8,0,0.6,7,70.3,"1103",0,0,0,7,7,34.5,478,吉田直弘,栗,0,22102770,01191,01101,0426141206,,,,,,,,  15.5,  ,    ,53.8
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,カイトグート      ,牝,5,石神深道,53.0,13,03,9,9,0,0.6,11,70.3,"1103",0,0,0,11,10,34.2,464,和田雄二,美,0,21106308,01209,01143,0426141203,,,,,,,,  93.2,  ,    ,55.6
26,05,10,1,新潟,4,12,１勝ｸﾗｽ,23,芝,0,1200,良,ホウオウショコラ  ,牝,4,菱田裕二,56.0,13,04,10,10,0,0.6,8,70.3,"1103",0,0,0,3,3,34.9,480,大竹正博,美,0,22101108,01144,01102,0426141204,,,,,,,,  18.2,  ,    ,51.4
