年,月,日,回次,場所,日次,レース番号,レース名,クラスコード,芝・ダ,コースコード,距離,馬場状態,馬名,性別,年齢,騎手名,斤量,頭数,馬番,確定着順,入線着順,異常コード,着差タイム,人気順,走破タイム,走破時計,,通過順1,通過順2,通過順3,通過順4,上がり3Fタイム,馬体重,調教師,所属地,賞金,血統登録番号,騎手コード,調教師コード,レースID,現馬主名,生産者名,父馬名,母馬名,母の父馬名,毛色,生年月日,単勝オッズ,馬印1,レース印1,PCI
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,キーガッツ        ,牡,4,斎藤新,58.0,15,06,1,1,0,-0.4,2,68.4,"1084",0,0,0,2,1,37,472,杉山佳明,栗,820,22106513,01178,01178,0326141206,,,,,,,,   4.3,  ,    ,42.6
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,ジーティームッシュ,牡,4,小林美駒,55.0,15,03,2,2,0,0.4,5,68.8,"1088",0,0,0,4,4,37.2,428,西村真幸,栗,330,22105215,01206,01148,0326141203,,,,,,,,   8.3,  ,    ,42.7
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,ミルミナーヴァ    ,牝,5,富田暁,56.0,15,09,3,3,0,0.4,1,68.8,"1088",0,0,0,2,2,37.4,484,橋田宜長,栗,210,21106332,01168,01218,0326141209,,,,,,,,   2.7,  ,    ,41.6
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,カツノテンス      ,牡,6,遠藤汰月,55.0,15,04,4,4,0,0.6,8,69,"1090",0,0,0,7,6,37.1,456,伊藤伸一,美,120,20105525,01218,01031,0326141204,,,,,,,,  35.6,  ,    ,43.8
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,レイアポポ        ,牝,4,丹内祐次,56.0,15,07,5,5,0,0.6,4,69,"1090",0,0,0,9,6,36.9,488,青木孝文,美,82,22102103,01091,01156,0326141207,,,,,,,,   6.7,  ,    ,44.9
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,ブルーリヴァーサル,牡,6,的場勇人,58.0,15,15,6,6,0,0.8,15,69.2,"1092",0,0,0,14,14,36,462,的場均,美,0,20104617,01108,01063,0326141215,,,,,,,, 406.6,  ,    ,50.6
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,グッドヴァイブス  ,牡,5,杉原誠人,58.0,15,01,7,7,0,0.8,9,69.2,"1092",0,0,0,12,10,36.6,486,高柳瑞樹,美,0,21101521,01135,01118,0326141201,,,,,,,,  36.1,  ,    ,47.2
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,カフジキアッキエレ,牝,6,松若風馬,56.0,15,11,8,8,0,0.9,6,69.3,"1093",0,0,0,12,10,36.7,436,森田直行,栗,0,20103256,01154,01142,0326141211,,,,,,,,  19.5,  ,    ,46.9
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,ジャーニーメモリー,牡,6,長浜鴻緒,56.0,15,14,9,9,0,1,14,69.4,"1094",0,0,0,7,6,37.4,472,粕谷昌央,美,0,20104437,01214,01096,0326141214,,,,,,,, 192.8,  ,    ,43.3
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,クリナッチ        ,牝,4,伊藤工真,56.0,15,02,10,10,0,1,11,69.4,"1094",0,0,0,9,10,37.3,458,金成貴史,美,0,22103396,01119,01132,0326141202,,,,,,,,  76.8,  ,    ,43.9
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,ウインドファルクス,セ,5,田山旺佑,55.0,15,08,11,11,0,1.1,10,69.5,"1095",0,0,0,9,10,37.3,498,畠山吉宏,美,0,21103482,01220,01048,0326141208,,,,,,,,  59.6,  ,    ,44.2
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,イチトゼロノアイダ,牝,4,舟山瑠泉,54.0,15,05,12,12,0,1.2,3,69.6,"1096",0,0,0,1,2,38.3,482,石坂公一,栗,0,22101607,01221,01166,0326141205,,,,,,,,   5.3,  ,    ,39.2
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,オコジュ          ,牝,6,江田照男,56.0,15,10,13,13,0,1.4,12,69.8,"1098",0,0,0,4,4,38.1,470,矢嶋大樹,美,0,20101265,00689,01202,0326141210,,,,,,,, 109.0,  ,    ,40.8
26,04,19,1,福島,4,12,１勝ｸﾗｽ,23,ダ,1,1150,良,カルツァクライン  ,牡,5,永島まな,56.0,15,13,14,14,0,1.7,13,70.1,"1101",0,0,0,14,15,36.9,466,天間昭一,美,0,21102933,01187,01090,0326141213,,,,,,,, 177.0,  ,    ,48.2
