race_date,venue,surface,distance,race_name,grade,winner,winner_odds,before_honmei,before_pop,before_odds,before_hit,after_honmei,after_pop,after_odds,after_hit,honmei_changed
2024-09-14,中京,芝,3330,阪神ジャJG3,G3,サペラヴィ        ,4.4,ネビーイーム      ,1,3.1,False,ネビーイーム      ,1,3.1,False,False
2024-09-15,中京,芝,2000,ローズＳG2,G2,クイーンズウォーク,4.9,クイーンズウォーク,2,4.9,True,クイーンズウォーク,2,4.9,True,False
2024-09-16,中山,芝,2200,セントラG2,G2,アーバンシック    ,3.1,アーバンシック    ,2,3.1,True,アーバンシック    ,2,3.1,True,False
2024-09-22,中京,芝,2200,神戸新聞G2,G2,メイショウタバル  ,5.4,メリオーレム      ,1,3.7,False,メリオーレム      ,1,3.7,False,False
2024-09-22,中山,芝,2200,オールカG2,G2,レーベンスティール,1.5,レーベンスティール,1,1.5,True,レーベンスティール,1,1.5,True,False
2024-09-28,中京,ダ,1900,シリウスＨG3,G3,ハギノアレグリアス,10.8,オメガギネス      ,1,2.8,False,オメガギネス      ,1,2.8,False,False
2024-09-29,中山,芝,1200,スプリンG1,G1,ルガル            ,28.5,サトノレーヴ      ,1,3.0,False,サトノレーヴ      ,1,3.0,False,False
2024-10-06,京都,芝,2400,京都大賞G2,G2,シュヴァリエローズ,22.5,サトノグランツ    ,2,2.8,False,サトノグランツ    ,2,2.8,False,False
2024-10-06,東京,芝,1800,毎日王冠G2,G2,シックスペンス    ,3.5,シックスペンス    ,1,3.5,True,シックスペンス    ,1,3.5,True,False
2024-10-13,京都,芝,2000,秋華賞G1,G1,チェルヴィニア    ,2.3,チェルヴィニア    ,1,2.3,True,チェルヴィニア    ,1,2.3,True,False
2024-10-14,東京,芝,1800,アイルラG2,G2,ブレイディヴェーグ,3.6,マスクトディーヴァ,1,2.3,False,ブレイディヴェーグ,2,3.6,True,True
2024-10-19,東京,芝,1600,富士ＳG2,G2,ジュンブロッサム  ,7.2,セリフォス        ,2,3.4,False,パラレルヴィジョン,7,18.9,False,True
2024-10-20,京都,芝,3000,菊花賞G1,G1,アーバンシック    ,3.7,アーバンシック    ,2,3.7,True,アーバンシック    ,2,3.7,True,False
2024-10-26,京都,芝,1400,スワンＳG2,G2,ダノンマッキンリー,10.9,ダノンマッキンリー,5,10.9,True,バースクライ      ,15,84.3,False,True
2024-10-26,東京,芝,1600,アルテミG3,G3,ブラウンラチェット,4.7,カムニャック      ,1,3.1,False,ブラウンラチェット,3,4.7,True,True
2024-10-27,東京,芝,2000,天皇賞秋G1,G1,ドウデュース      ,3.8,リバティアイランド,1,2.3,False,リバティアイランド,1,2.3,False,False
