race_date,venue,race_name,grade,distance,dist_band,n_horses,pred_horse,pred_score,pred_wp,pred_pop,pred_odds,edge,edge_band,actual_finish,actual_1st,hit_win,hit_place
2023-04-30,京都,天皇賞春G1,G1,3200,2401m以上,15,ジャスティンパレス,60.5,0.2808,2,4.3,0.0948,+0.06以上,1,ジャスティンパレス,True,True
2023-05-21,東京,優駿牝馬G1,G1,2400,2201〜2400m,18,リバティアイランド,64.08,0.2251,1,1.4,-0.3463,マイナス,1,リバティアイランド,True,True
2023-05-28,東京,東京優駿G1,G1,2400,2201〜2400m,17,タスティエーラ,61.81,0.1498,4,8.3,0.0534,0〜+0.06,1,タスティエーラ,True,True
2023-05-28,東京,目黒記念ＨG2,G2,2500,2401m以上,18,サリエラ,63.53,0.3319,1,3.2,0.0819,+0.06以上,3,ヒートオンビート,False,True
2023-09-24,阪神,神戸新聞G2,G2,2400,2201〜2400m,13,サトノグランツ,61.99,0.1647,3,5.0,0.0047,0〜+0.06,1,サトノグランツ,True,True
2023-10-09,京都,京都大賞G2,G2,2400,2201〜2400m,13,ビッグリボン,56.87,0.1943,7,15.6,0.143,+0.06以上,8,プラダリア,False,False
2023-10-15,東京,東京ハイJG2,G2,3110,2401m以上,12,ホッコーメヴィウス,56.35,0.1507,4,8.4,0.0555,0〜+0.06,2,マイネルグロン,False,True
2023-10-22,京都,菊花賞G1,G1,3000,2401m以上,17,タスティエーラ,67.0,0.254,2,4.7,0.0838,+0.06以上,2,ドゥレッツァ,False,True
2023-11-05,東京,アルゼンＨG2,G2,2500,2401m以上,18,ゼッフィーロ,65.03,0.4872,1,2.4,0.1538,+0.06以上,1,ゼッフィーロ,True,True
2023-11-26,東京,ＪＣG1,G1,2400,2201〜2400m,18,イクイノックス,65.85,0.2448,1,1.3,-0.3706,マイナス,1,イクイノックス,True,True
2023-12-02,中山,ステイヤG2,G2,3600,2401m以上,16,キングズレイン,60.9,0.4016,1,2.8,0.1159,+0.06以上,5,アイアンバローズ,False,False
2023-12-23,中山,中山大障JG1,G1,4100,2401m以上,12,ニシノデイジー,59.7,0.1583,3,6.6,0.0371,0〜+0.06,2,マイネルグロン,False,True
2023-12-24,中山,有馬記念G1,G1,2500,2401m以上,16,ドウデュース,62.5,0.1765,2,5.2,0.0227,0〜+0.06,1,ドウデュース,True,True
